Molecule,Radical Y,Radical Z,Bond Index,Bond Type,BDE
CCOC(=O)[C@](C)(O)CC,[H],[CH2]COC(=O)[C@](C)(O)CC,9,C-H,101.5623317
CCOC(=O)[C@](C)(O)CC,[H],C[CH]OC(=O)[C@](C)(O)CC,12,C-H,96.48515633
CCOC(=O)[C@](C)(O)CC,[H],[CH2][C@@](O)(CC)C(=O)OCC,14,C-H,101.4744804
CCOC(=O)[C@](C)(O)CC,[H],CCOC(=O)[C@](C)([O])CC,17,H-O,108.8201007
CCOC(=O)[C@](C)(O)CC,[H],C[CH][C@@](C)(O)C(=O)OCC,18,C-H,98.62496202
CCOC(=O)[C@](C)(O)CC,[H],[CH2]C[C@@](C)(O)C(=O)OCC,20,C-H,100.6361284
CCC(C)(CO)CO,[CH2]C(C)(CO)CO,[CH3],0,C-C,88.12046136
CCC(C)(CO)CO,C[C](CO)CO,[CH2]C,1,C-C,86.53537363
CCC(C)(CO)CO,CC[C](CO)CO,[CH3],2,C-C,88.26416092
CCC(C)(CO)CO,CC[C](C)CO,[CH2]O,3,C-C,85.72023944
CCC(C)(CO)CO,[H],[CH2]CC(C)(CO)CO,7,C-H,100.0268171
CCC(C)(CO)CO,[H],C[CH]C(C)(CO)CO,10,C-H,96.26866573
CCC(C)(CO)CO,[H],[CH2]C(CC)(CO)CO,12,C-H,99.72561281
C=CC=C,[CH]=C,[CH]=C,1,C-C,114.3478275
CC(CO)(CO)CO,OC[C](CO)CO,[CH3],0,C-C,90.92354406
CC(CO)(CO)CO,C[C](CO)CO,[CH2]O,1,C-C,90.07201435
CC(CO)(CO)CO,[CH2]C(C)(CO)CO,[OH],2,C-O,99.21858554
CC(CO)(CO)CO,[H],[CH2]C(CO)(CO)CO,7,C-H,105.0142587
CC(CO)(CO)CO,[H],CC([CH]O)(CO)CO,10,C-H,93.57288706
CC(CO)(CO)CO,[H],CC(C[O])(CO)CO,12,H-O,107.4320508
CC(C)CN,C[CH]CN,[CH3],0,C-C,88.14493421
CC(C)CN,C[CH]C,[CH2]N,2,C-C,79.63465715
CC(C)CN,[CH2]C(C)C,[NH2],3,C-N,87.08883656
CC(C)CN,[H],C[C](C)CN,7,C-H,96.20779735
CC(C)CN,[H],CC(C)[CH]N,11,C-H,90.80117981
CC(C)CN,[H],CC(C)C[NH],13,H-N,97.90332667
CCC(C)C,[CH2]C(C)C,[CH3],0,C-C,89.10690551
CCC(C)C,C[CH]C,[CH2]C,1,C-C,85.46421576
CCC(C)C,C[CH]CC,[CH3],2,C-C,87.38815836
CCC(C)C,[H],[CH2]CC(C)C,4,C-H,99.33969477
CCC(C)C,[H],C[CH]C(C)C,7,C-H,97.10952779
CCC(C)C,[H],CC[C](C)C,9,C-H,95.16173985
C=C(C)C=O,C=[C]C,[CH]=O,2,C-C,95.19625285
C=C(C)C=O,[H],[CH]=C(C)C=O,4,C-H,110.8933905
C=C(C)C=O,[H],[CH2]C(=C)C=O,6,C-H,89.82916837
C=C(C)C=O,[H],C=C(C)[C]=O,9,C-H,90.35188337
O=C1CCCCC1,[H],O=C1[CH]CCCC1,7,C-H,89.54239676
O=C1CCCCC1,[H],O=C1C[CH]CCC1,9,C-H,97.23000951
O=C1CCCCC1,[H],O=C1CC[CH]CC1,11,C-H,97.93846718
CC[C@H](C)O,[CH2][C@H](C)O,[CH3],0,C-C,90.1310002
CC[C@H](C)O,[H],[CH2]C[C@H](C)O,4,C-H,99.07990605
CC[C@H](C)O,[H],C[CH][C@H](C)O,7,C-H,97.49293578
CC[C@H](C)O,[H],[CH2][C@H](O)CC,10,C-H,100.8011632
CC[C@H](C)O,[H],CC[C@H](C)[O],13,H-O,103.4981969
C#CC(=C)C,[C]#C,C=[C]C,1,C-C,133.7679761
C#CC(=C)C,C#C[C]=C,[CH3],3,C-C,91.63200173
C#CC(=C)C,[H],[C]#CC(=C)C,4,C-H,129.6439869
C#CC(=C)C,[H],[CH]=C(C)C#C,5,C-H,111.2824461
C#CC(=C)C,[H],C#CC([CH2])=C,7,C-H,89.18220659
CC1=CC(=O)CC(C)(C)C1,CC1(C)C[C]=CC(=O)C1,[CH3],0,C-C,100.8394413
CC1=CC(=O)CC(C)(C)C1,C[C]1CC(=O)C=C(C)C1,[CH3],6,C-C,86.24860201
CC1=CC(=O)CC(C)(C)C1,[H],[CH2]C1=CC(=O)CC(C)(C)C1,10,C-H,86.14443552
CC1=CC(=O)CC(C)(C)C1,[H],CC1=[C]C(=O)CC(C)(C)C1,13,C-H,112.0197691
CC1=CC(=O)CC(C)(C)C1,[H],CC1=CC(=O)[CH]C(C)(C)C1,14,C-H,91.81711688
CC1=CC(=O)CC(C)(C)C1,[H],CC1=CC(=O)CC(C)(C)[CH]1,22,C-H,84.19288253
CCC(C)(CC)OC(N)=O,CC[C](C)OC(N)=O,[CH2]C,1,C-C,85.5577146
CCC(C)(CC)OC(N)=O,CC[C](CC)OC(N)=O,[CH3],2,C-C,87.55884081
CCC(C)(CC)OC(N)=O,CC[C](C)CC,NC([O])=O,5,C-O,93.18006643
CCC(C)(CC)OC(N)=O,CCC(C)([O])CC,N[C]=O,6,C-O,99.15583463
CCC(C)(CC)OC(N)=O,CCC(C)(CC)O[C]=O,[NH2],7,C-N,105.4171194
CCC(C)(CC)OC(N)=O,[H],[CH2]C(CC)(CC)OC(N)=O,14,C-H,100.296646
CCC(C)(CC)OC(N)=O,[H],CCC(C)(CC)OC([NH])=O,22,H-N,112.914597
C[C@H](O)CN,[CH2][C@H](C)O,[NH2],3,C-N,90.6957583
C[C@H](O)CN,[H],[CH2][C@H](O)CN,4,C-H,101.1230754
C[C@H](O)CN,[H],C[C@H]([O])CN,8,H-O,105.5501513
C[C@H](O)CN,[H],C[C@H](O)[CH]N,9,C-H,93.23842476
C[C@H](O)CN,[H],C[C@H](O)C[NH],11,H-N,99.21858554
CCC(C)=O,[CH2]C(C)=O,[CH3],0,C-C,84.69049717
CCC(C)=O,C[C]=O,[CH2]C,1,C-C,83.6607549
CCC(C)=O,CC[C]=O,[CH3],2,C-C,85.56712724
CCC(C)=O,[H],[CH2]CC(C)=O,4,C-H,100.3637895
CCC(C)=O,[H],C[CH]C(C)=O,7,C-H,89.61707033
CCC(C)=O,[H],[CH2]C(=O)CC,9,C-H,95.06384845
OCCOCCO,[CH2]COCCO,[OH],0,C-O,97.25824742
OCCOCCO,[CH2]OCCO,[CH2]O,1,C-C,85.40522992
OCCOCCO,[O]CCO,[CH2]CO,2,C-O,88.11857883
OCCOCCO,[H],[O]CCOCCO,6,H-O,105.1855686
OCCOCCO,[H],O[CH]COCCO,7,C-H,93.99833816
OCCOCCO,[H],OC[CH]OCCO,9,C-H,95.89278784
CCOC(C)(O)O,[CH2]OC(C)(O)O,[CH3],0,C-C,88.28486872
CCOC(C)(O)O,CC([O])(O)O,[CH2]C,1,C-O,90.1033898
CCOC(C)(O)O,CC[O],C[C](O)O,2,C-O,93.21959949
CCOC(C)(O)O,CCO[C](O)O,[CH3],3,C-C,90.29729008
CCOC(C)(O)O,CCO[C](C)O,[OH],4,C-O,104.3729445
CCOC(C)(O)O,[H],[CH2]COC(C)(O)O,6,C-H,101.1211928
CCOC(C)(O)O,[H],C[CH]OC(C)(O)O,9,C-H,94.29263989
CCOc1ccc(C)cc1,[CH2]Oc1ccc(C)cc1,[CH3],0,C-C,88.56160019
CCOc1ccc(C)cc1,[CH2]C,Cc1ccc([O])cc1,1,C-O,68.54845565
CCOc1ccc(C)cc1,CC[O],Cc1cc[c]cc1,2,C-O,101.8924014
CCOc1ccc(C)cc1,[CH3],CCOc1cc[c]cc1,6,C-C,103.2396632
CCOc1ccc(C)cc1,[H],[CH2]COc1ccc(C)cc1,10,C-H,101.5347213
CCOc1ccc(C)cc1,[H],C[CH]Oc1ccc(C)cc1,13,C-H,94.44826212
CCOc1ccc(C)cc1,[H],CCOc1[c]cc(C)cc1,15,C-H,111.1218038
CCOc1ccc(C)cc1,[H],CCOc1c[c]c(C)cc1,16,C-H,110.614149
CCOc1ccc(C)cc1,[H],[CH2]c1ccc(OCC)cc1,17,C-H,89.09059027
CC(C)C#N,C[CH]C#N,[CH3],0,C-C,81.57617
CC(C)C#N,[H],C[C](C)C#N,7,C-H,88.13552158
C=C(O)C=O,[H],C=C([O])C=O,6,H-O,95.97059895
CCCCOCCO,[CH2]CCOCCO,[CH3],0,C-C,89.00273901
CCCCOCCO,[CH2]COCCO,[CH2]C,1,C-C,88.43484337
CCCCOCCO,[CH2]OCCO,[CH2]CC,2,C-C,86.11682512
CCCCOCCO,[O]CCO,[CH2]CCC,3,C-O,86.39669414
CCCCOCCO,CCCC[O],[CH2]CO,4,C-O,88.96948104
CCCCOCCO,[CH2]O,[CH2]OCCCC,5,C-C,85.31549613
CCCCOCCO,[CH2]COCCCC,[OH],6,C-O,97.69060112
CCCCOCCO,[H],[CH2]CCCOCCO,7,C-H,100.2627605
CCCCOCCO,[H],C[CH]CCOCCO,10,C-H,96.82087365
CCCCOCCO,[H],CC[CH]COCCO,12,C-H,98.2886172
CCCCOCCO,[H],CCC[CH]OCCO,14,C-H,93.88350402
CCCCOCCO,[H],CCCCO[CH]CO,16,C-H,95.55142294
CCCCOCCO,[H],CCCCOC[CH]O,18,C-H,94.11191729
CCCCOCCO,[H],CCCCOCC[O],20,H-O,104.6151629
CC(C)CO,C[CH]CO,[CH3],0,C-C,88.16438699
CC(C)CO,[CH2]O,C[CH]C,2,C-C,84.40560808
CC(C)CO,[CH2]C(C)C,[OH],3,C-O,95.60978128
CC(C)CO,[H],C[C](C)CO,7,C-H,96.01640711
CC(C)CO,[H],CC(C)[CH]O,11,C-H,93.75360965
CC(C)CO,[H],CC(C)C[O],13,H-O,102.1176771
O=C1OC[C@@H]2CC=CC[C@H]12,[H],O=C1O[CH][C@@H]2CC=CC[C@H]12,11,C-H,95.4510215
O=C1OC[C@@H]2CC=CC[C@H]12,[H],O=C1OC[C@@H]2[CH]C=CC[C@H]12,14,C-H,80.87712497
O=C1OC[C@@H]2CC=CC[C@H]12,[H],O=C1OC[C@@H]2C[C]=CC[C@H]12,16,C-H,108.4994436
O=C1OC[C@@H]2CC=CC[C@H]12,[H],O=C1OC[C@@H]2CC=[C]C[C@H]12,17,C-H,108.109133
O=C1OC[C@@H]2CC=CC[C@H]12,[H],O=C1OC[C@@H]2CC=C[CH][C@H]12,18,C-H,81.47451354
CCC1(CC)CCCCC1,[CH2]C1(CC)CCCCC1,[CH3],0,C-C,86.56612157
CCC1(CC)CCCCC1,CC[C]1CCCCC1,[CH2]C,1,C-C,82.40448188
CCC1(CC)CCCCC1,[H],[CH2]CC1(CC)CCCCC1,10,C-H,98.90671356
CCC1(CC)CCCCC1,[H],C[CH]C1(CC)CCCCC1,13,C-H,94.80092218
CCC1(CC)CCCCC1,[H],CCC1(CC)[CH]CCCC1,20,C-H,96.7129421
CCC1(CC)CCCCC1,[H],CCC1(CC)C[CH]CCC1,22,C-H,96.24984046
CCC1(CC)CCCCC1,[H],CCC1(CC)CC[CH]CC1,24,C-H,97.09321255
CC(C)C=O,C[CH]C=O,[CH3],0,C-C,78.29178789
CC(C)C=O,C[CH]C,[CH]=O,2,C-C,82.12524038
CC(C)C=O,[H],C[C](C)C=O,7,C-H,83.34198033
CC(C)C=O,[H],CC(C)[C]=O,11,C-H,88.34385457
CCC[C@@H]1O[C@]1(CC)CO,[CH2]C[C@@H]1O[C@]1(CC)CO,[CH3],0,C-C,88.8904149
CCC[C@@H]1O[C@]1(CC)CO,[CH2][C@@H]1O[C@]1(CC)CO,[CH2]C,1,C-C,85.06512004
CCC[C@@H]1O[C@]1(CC)CO,[CH2][C@]1(CO)O[C@H]1CCC,[CH3],6,C-C,88.14869927
CCC[C@@H]1O[C@]1(CC)CO,[CH2][C@@]1(CC)O[C@H]1CCC,[OH],8,C-O,92.49106155
CCC[C@@H]1O[C@]1(CC)CO,[H],[CH2]CC[C@@H]1O[C@]1(CC)CO,10,C-H,99.13512684
CCC[C@@H]1O[C@]1(CC)CO,[H],C[CH]C[C@@H]1O[C@]1(CC)CO,13,C-H,97.2362846
CCC[C@@H]1O[C@]1(CC)CO,[H],CC[CH][C@@H]1O[C@]1(CC)CO,15,C-H,94.98917488
CCC[C@@H]1O[C@]1(CC)CO,[H],C[CH][C@]1(CO)O[C@H]1CCC,18,C-H,96.10865093
CCC[C@@H]1O[C@]1(CC)CO,[H],[CH2]C[C@]1(CO)O[C@H]1CCC,20,C-H,99.46394155
CCC[C@@H]1O[C@]1(CC)CO,[H],CCC[C@@H]1O[C@@]1([CH]O)CC,23,C-H,88.8828848
CCC[C@@H]1O[C@]1(CC)CO,[H],CCC[C@@H]1O[C@]1(CC)C[O],25,H-O,103.6349939
C#CC1(O)CCCCC1,[C]#C,O[C]1CCCCC1,1,C-C,118.1373544
C#CC1(O)CCCCC1,C#C[C]1CCCCC1,[OH],2,C-O,85.09775051
C#CC1(O)CCCCC1,[H],[C]#CC1(O)CCCCC1,9,C-H,131.2617051
C#CC1(O)CCCCC1,[H],C#CC1([O])CCCCC1,10,H-O,105.0324564
C#CC1(O)CCCCC1,[H],C#CC1(O)CC[CH]CC1,15,C-H,97.61781008
C[C@H](N)CN,[CH2][C@H](C)N,[NH2],3,C-N,88.64380387
C[C@H](N)CN,[H],[CH2][C@H](N)CN,4,C-H,100.6392659
C[C@H](N)CN,[H],C[C@H]([NH])CN,8,H-N,99.23490077
C[C@H](N)CN,[H],C[C@H](N)[CH]N,10,C-H,92.03423499
C[C@H](N)CN,[H],C[C@H](N)C[NH],12,H-N,98.83141248
C[C@H](N)CO,[CH2][C@H](C)N,[OH],3,C-O,98.51075538
C[C@H](N)CO,[H],[CH2][C@H](N)CO,4,C-H,101.1789237
C[C@H](N)CO,[H],C[C@H]([NH])CO,8,H-N,99.61015115
C[C@H](N)CO,[H],C[C@H](N)[CH]O,10,C-H,92.93910297
C[C@H](N)CO,[H],C[C@H](N)C[O],12,H-O,104.7117993
C=CC(C)=O,C[C]=O,[CH]=C,1,C-C,94.79339207
C=CC(C)=O,[H],[CH]=CC(C)=O,4,C-H,108.491286
C=CC(C)=O,[H],[CH2]C(=O)C=C,7,C-H,94.71369842
C[C@H](O)C#N,[H],[CH2][C@H](O)C#N,4,C-H,102.4176264
C[C@H](O)C#N,[H],C[C@H]([O])C#N,8,H-O,106.0621987
C=CC(=C)C,C=[C]C,[CH]=C,1,C-C,111.5359597
C=CC(=C)C,[H],[CH]=CC(=C)C,4,C-H,109.2675147
C=CC(=C)C,[H],[CH]=C(C)C=C,7,C-H,110.9592789
C=CC(=C)C,[H],[CH2]C(=C)C=C,9,C-H,90.92040652
CC(=O)OO,C[C]=O,[O]O,2,C-O,83.62686941
CC(=O)OO,CC([O])=O,[OH],3,O-O,49.93653871
CC(=O)OO,[H],[CH2]C(=O)OO,4,C-H,97.66738329
CNC(C)=O,[CH3],CC([NH])=O,0,C-N,97.04928692
CNC(C)=O,C[C]=O,C[NH],1,C-N,98.15935034
CNC(C)=O,CN[C]=O,[CH3],2,C-C,89.13137836
CNC(C)=O,[H],[CH2]NC(C)=O,4,C-H,92.74269266
CNC(C)=O,[H],C[N]C(C)=O,7,H-N,106.5980914
CNC(C)=O,[H],[CH2]C(=O)NC,8,C-H,97.4170072
CC(C)[C@H](C)N,C[CH][C@H](C)N,[CH3],0,C-C,87.4120037
CC(C)[C@H](C)N,[H],C[C](C)[C@H](C)N,8,C-H,94.68232297
CC(C)[C@H](C)N,[H],[CH2][C@H](N)C(C)C,13,C-H,99.81220905
CC(C)[C@H](C)N,[H],CC(C)[C@H](C)[NH],16,H-N,98.65633747
O=C(O)CO,O=[C]CO,[OH],1,C-O,113.5013179
O=C(O)CO,[CH2]O,O=[C]O,2,C-C,92.6968845
O=C(O)CO,[CH2]C(=O)O,[OH],3,C-O,92.18734719
O=C(O)CO,[H],O=C(O)[CH]O,5,C-H,84.56248533
O=C(O)CO,[H],[O]CC(=O)O,7,H-O,107.4878991
CC(C)C(C)C,C[CH]C(C)C,[CH3],0,C-C,86.43873724
CC(C)C(C)C,C[CH]C,C[CH]C,2,C-C,82.64042526
CC(C)C(C)C,[H],C[C](C)C(C)C,8,C-H,94.58694161
COC(C)=O,CC([O])=O,[CH3],0,C-O,93.16751625
COC(C)=O,C[C]=O,C[O],1,C-O,100.9699632
COC(C)=O,CO[C]=O,[CH3],2,C-C,95.29414425
COC(C)=O,[H],[CH2]OC(C)=O,4,C-H,98.22774882
COC(C)=O,[H],[CH2]C(=O)OC,7,C-H,97.29778049
CC(C)C(=O)O,C[CH]C(=O)O,[CH3],0,C-C,81.64770603
CC(C)C(=O)O,O=[C]O,C[CH]C,2,C-C,92.59773808
CC(C)C(=O)O,CC(C)[C]=O,[OH],4,C-O,111.1017235
CC(C)C(=O)O,[H],C[C](C)C(=O)O,8,C-H,87.67304744
CC(C)C(=O)O,[H],CC(C)C([O])=O,12,H-O,112.2820679
CN(C)C(=O)O,C[N]C,O=[C]O,2,C-N,100.4892913
CN(C)C(=O)O,CN(C)[C]=O,[OH],4,C-O,109.5662089
CN(C)C(=O)O,[H],[CH2]N(C)C(=O)O,5,C-H,92.84623164
CN(C)C(=O)O,[H],CN(C)C([O])=O,11,H-O,109.6766505
CCC(N)=O,N[C]=O,[CH2]C,1,C-C,86.96835484
CCC(N)=O,CC[C]=O,[NH2],2,C-N,101.6508104
CCC(N)=O,[H],[CH2]CC(N)=O,4,C-H,100.5269418
CCC(N)=O,[H],C[CH]C(N)=O,7,C-H,92.20679997
CCC(N)=O,[H],CCC([NH])=O,9,H-N,112.012239
N=NC(N)N,[N]=N,N[CH]N,1,C-N,46.22168543
N=NC(N)N,N=N[CH]N,[NH2],2,C-N,59.6409654
N=NC(N)N,[H],N=N[C](N)N,5,C-H,67.69316088
CC(C)(CO)[C@@H]1OC1=O,[CH2]C(C)(C)[C@@H]1OC1=O,[OH],3,C-O,96.70101943
CC(C)(CO)[C@@H]1OC1=O,[H],CC(C)([CH]O)[C@@H]1OC1=O,15,C-H,94.33091793
CC(C)(CO)[C@@H]1OC1=O,[H],CC(C)(C[O])[C@@H]1OC1=O,17,H-O,103.0275652
C=C(C)C(N)=O,C=[C]C,N[C]=O,2,C-C,94.98227228
C=C(C)C(N)=O,C=C(C)[C]=O,[NH2],3,C-N,99.94273092
C=C(C)C(N)=O,[H],[CH]=C(C)C(N)=O,5,C-H,108.3155835
C=C(C)C(N)=O,[H],[CH2]C(=C)C(N)=O,7,C-H,88.65949159
C/N=C(/NC#N)N(C)N=O,CN(N=O)C(=[N])NC#N,[CH3],0,C-N,82.35553618
C/N=C(/NC#N)N(C)N=O,CN=[C]N(C)N=O,N#C[NH],2,C-N,88.15936692
C/N=C(/NC#N)N(C)N=O,C/N=C(\[N]N=O)NC#N,[CH3],6,C-N,88.57791542
C/N=C(/NC#N)N(C)N=O,C[N]/C(=N\C)NC#N,[N]=O,7,N-N,45.43604416
C/N=C(/NC#N)N(C)N=O,[H],[CH2]/N=C(/NC#N)N(C)N=O,9,C-H,87.61468911
C/N=C(/NC#N)N(C)N=O,[H],C/N=C(/[N]C#N)N(C)N=O,12,H-N,95.64429427
C/N=C(/NC#N)N(C)N=O,[H],[CH2]N(N=O)/C(=N\C)NC#N,13,C-H,96.01013202
C/N=C(/NC)N(C)C,CNC(=[N])N(C)C,[CH3],0,C-N,77.08822563
C/N=C(/NC)N(C)C,CN=[C]N(C)C,C[NH],2,C-N,87.82866968
C/N=C(/NC)N(C)C,[CH3],C/N=C(/[NH])N(C)C,3,C-N,78.97702772
C/N=C(/NC)N(C)C,C[N]C,C/N=[C]/NC,4,C-N,84.56374035
C/N=C(/NC)N(C)C,C[N]/C(=N\C)NC,[CH3],5,C-N,80.56086044
C/N=C(/NC)N(C)C,[H],[CH2]/N=C(/NC)N(C)C,7,C-H,86.16577083
C/N=C(/NC)N(C)C,[H],C[N]/C(=N/C)N(C)C,10,H-N,94.94587675
C/N=C(/NC)N(C)C,[H],[CH2]N/C(=N/C)N(C)C,11,C-H,93.06272224
C/N=C(/NC)N(C)C,[H],[CH2]N(C)/C(=N\C)NC,14,C-H,89.98353558
O=C1CCC(O)=C1O,O=C1CC[C]=C1O,[OH],4,C-O,119.1369762
O=C1CCC(O)=C1O,O=C1[C]=C(O)CC1,[OH],6,C-O,119.2543204
O=C1CCC(O)=C1O,[H],O=C1[CH]CC(O)=C1O,8,C-H,92.98240109
O=C1CCC(O)=C1O,[H],O=C1C[CH]C(O)=C1O,10,C-H,85.08582784
O=C1CCC(O)=C1O,[H],[O]C1=C(O)C(=O)CC1,12,H-O,78.20707418
O=C1CCC(O)=C1O,[H],[O]C1=C(O)CCC1=O,13,H-O,83.02508828
CCOC(=O)C(C)(C)O,[CH2]OC(=O)C(C)(C)O,[CH3],0,C-C,90.77858949
CCOC(=O)C(C)(C)O,CC[O],CC(C)(O)[C]=O,2,C-O,101.3903942
CCOC(=O)C(C)(C)O,CCO[C]=O,C[C](C)O,4,C-C,88.96885353
CCOC(=O)C(C)(C)O,CCOC(=O)[C](C)O,[CH3],5,C-C,74.27510279
CCOC(=O)C(C)(C)O,CCOC(=O)[C](C)C,[OH],7,C-O,89.56498708
CCOC(=O)C(C)(C)O,[H],[CH2]COC(=O)C(C)(C)O,8,C-H,101.5792744
CCOC(=O)C(C)(C)O,[H],C[CH]OC(=O)C(C)(C)O,11,C-H,96.46946861
CCOC(=O)C(C)(C)O,[H],CCOC(=O)C(C)(C)[O],19,H-O,108.2013769
C=COc1ccccc1,[CH]=C,[O]c1ccccc1,1,C-O,83.02948084
C=COc1ccccc1,C=C[O],[c]1ccccc1,2,C-O,80.44037871
C=COc1ccccc1,[H],[CH]=COc1ccccc1,9,C-H,113.3820912
C=COc1ccccc1,[H],C=[C]Oc1ccccc1,11,C-H,106.9419663
C=COc1ccccc1,[H],C=COc1[c]cccc1,12,C-H,111.2742884
C=COc1ccccc1,[H],C=COc1c[c]ccc1,13,C-H,110.9216284
C=COc1ccccc1,[H],C=COc1cc[c]cc1,14,C-H,112.0053364
CC(=O)c1ccc(N)cc1,C[C]=O,Nc1cc[c]cc1,2,C-C,100.3744571
CC(=O)c1ccc(N)cc1,[NH2],CC(=O)c1cc[c]cc1,6,C-N,107.9735911
CC(=O)c1ccc(N)cc1,[H],[CH2]C(=O)c1ccc(N)cc1,10,C-H,95.74595073
CC(=O)c1ccc(N)cc1,[H],CC(=O)c1[c]cc(N)cc1,13,C-H,109.5662089
CC(=O)c1ccc(N)cc1,[H],CC(=O)c1c[c]c(N)cc1,14,C-H,112.1346033
CC(=O)c1ccc(N)cc1,[H],CC(=O)c1ccc([NH])cc1,15,H-N,94.45265468
COc1ccccc1N,[CH3],Nc1ccccc1[O],0,C-O,57.52939761
COc1ccccc1N,C[O],Nc1[c]cccc1,1,C-O,102.5575609
COc1ccccc1N,[NH2],COc1[c]cccc1,7,C-N,105.4993231
COc1ccccc1N,[H],[CH2]Oc1ccccc1N,9,C-H,96.41550283
COc1ccccc1N,[H],COc1[c]cccc1N,12,C-H,110.4277788
COc1ccccc1N,[H],COc1c[c]ccc1N,13,C-H,111.8459491
COc1ccccc1N,[H],COc1cc[c]cc1N,14,C-H,111.5265471
COc1ccccc1N,[H],COc1ccc[c]c1N,15,C-H,111.7825707
O=C(O)C(O)C(=O)O,O=C(O)[CH]O,O=[C]O,2,C-C,75.84575781
O=C(O)C(O)C(=O)O,O=C(O)[CH]C(=O)O,[OH],3,C-O,91.85978749
O=C(O)C(O)C(=O)O,[H],O=C(O)[C](O)C(=O)O,8,C-H,83.39908364
O=C(O)C(O)C(=O)O,[H],[O]C(C(=O)O)C(=O)O,9,H-O,111.8854822
CC1=C(O)C(=O)CC1,O=C1CC[C]=C1O,[CH3],0,C-C,108.5264265
CC1=C(O)C(=O)CC1,CC1=[C]C(=O)CC1,[OH],2,C-O,120.0343141
CC1=C(O)C(=O)CC1,[H],[CH2]C1=C(O)C(=O)CC1,8,C-H,82.86319096
CC1=C(O)C(=O)CC1,[H],CC1=C([O])C(=O)CC1,11,H-O,89.91325457
CC1=C(O)C(=O)CC1,[H],CC1=C(O)C(=O)[CH]C1,12,C-H,91.56987833
NN1CCOC1=O,O=C1[N]CCO1,[NH2],0,N-N,76.35027505
NN1CCOC1=O,[H],[NH]N1CCOC1=O,7,H-N,82.77345717
C=C(C)C(=O)OC,C=[C]C(=O)OC,[CH3],1,C-C,103.6883321
C=C(C)C(=O)OC,CO[C]=O,C=[C]C,2,C-C,102.1415225
C=C(C)C(=O)OC,C[O],C=C(C)[C]=O,4,C-O,100.0017168
C=C(C)C(=O)OC,C=C(C)C([O])=O,[CH3],5,C-O,93.56347443
C=C(C)C(=O)OC,[H],[CH]=C(C)C(=O)OC,6,C-H,110.3531052
C=C(C)C(=O)OC,[H],[CH2]C(=C)C(=O)OC,8,C-H,88.66388416
C=C(C)C(=O)OC,[H],[CH2]OC(=O)C(=C)C,11,C-H,97.93909468
CCCOC(=O)CC(C)C,[CH2]COC(=O)CC(C)C,[CH3],0,C-C,90.42530192
CCCOC(=O)CC(C)C,[CH2]C,[CH2]OC(=O)CC(C)C,1,C-C,88.16689703
CCCOC(=O)CC(C)C,CC(C)CC([O])=O,[CH2]CC,2,C-O,94.87057567
CCCOC(=O)CC(C)C,CC(C)C[C]=O,CCC[O],3,C-O,101.4449875
CCCOC(=O)CC(C)C,CCCO[C]=O,[CH2]C(C)C,5,C-C,93.7843576
CCCOC(=O)CC(C)C,C[CH]C,[CH2]C(=O)OCCC,6,C-C,83.48944494
CCCOC(=O)CC(C)C,C[CH]CC(=O)OCCC,[CH3],7,C-C,88.50888943
CCCOC(=O)CC(C)C,[H],[CH2]CCOC(=O)CC(C)C,9,C-H,100.2426802
CCCOC(=O)CC(C)C,[H],C[CH]COC(=O)CC(C)C,12,C-H,98.03447605
CCCOC(=O)CC(C)C,[H],CC[CH]OC(=O)CC(C)C,14,C-H,96.31447388
CCCOC(=O)CC(C)C,[H],CCCOC(=O)C[C](C)C,18,C-H,95.14291458
NC(=O)NNC(N)=O,NC(=O)NN[C]=O,[NH2],0,C-N,102.529323
NC(=O)NNC(N)=O,[H],NC(=O)[N]NC(N)=O,9,H-N,94.64341742
O=C1CCc2ccccc21,[H],O=C1[CH]Cc2ccccc21,11,C-H,90.40208409
O=C1CCc2ccccc21,[H],O=C1C[CH]c2ccccc21,13,C-H,87.54127055
O=C1CCc2ccccc21,[H],O=C1CCc2[c]cccc21,15,C-H,111.5416073
O=C1CCc2ccccc21,[H],O=C1CCc2c[c]ccc21,16,C-H,110.8394247
O=C1CCc2ccccc21,[H],O=C1CCc2cc[c]cc21,17,C-H,111.5033292
O=C1CCc2ccccc21,[H],O=C1CCc2ccc[c]c21,18,C-H,112.8901241
Cc1c[nH]c2ccccc12,[CH3],[c]1c[nH]c2ccccc12,0,C-C,109.9452244
Cc1c[nH]c2ccccc12,[H],[CH2]c1c[nH]c2ccccc12,11,C-H,88.90547512
Cc1c[nH]c2ccccc12,[H],Cc1[c][nH]c2ccccc12,14,C-H,117.2927273
Cc1c[nH]c2ccccc12,[H],CC1=C[N]c2ccccc21,15,H-N,91.27055654
Cc1c[nH]c2ccccc12,[H],Cc1c[nH]c2[c]cccc12,16,C-H,111.9174852
Cc1c[nH]c2ccccc12,[H],Cc1c[nH]c2c[c]ccc12,17,C-H,111.20589
Cc1c[nH]c2ccccc12,[H],Cc1c[nH]c2cc[c]cc12,18,C-H,111.3985352
Cc1c[nH]c2ccccc12,[H],Cc1c[nH]c2ccc[c]c12,19,C-H,111.3577471
CCCCC(=N)N,[CH2]CCC(=N)N,[CH3],0,C-C,89.65409336
CCCCC(=N)N,[CH2]CC(=N)N,[CH2]C,1,C-C,87.35176284
